book_id,book_name,book_subject,book_class,book_author,book_status,book_publisher,book_issued_to,book_count,book_year
1001,Introduction to Math,Mathematics,10,John Smith,Available,ABC Publications,Adam,5,2022
1002,History of Science,Science,9,Emily Johnson,Available,XYZ Books,Alex,3,2023
1003,English Literature,Literature,11,Michael Brown,Issued,Penguin Books,Alice,2,2021
1004,Programming Basics,Computer Science,12,David Lee,Available,Tech Press,Amanda,7,2022
1005,Chemistry Fundamentals,Chemistry,10,Sarah White,Available,Science Books,Benjamin,4,2024
1006,Economics Essentials,Economics,11,Lisa Taylor,Available,Econ Publishing,Caroline,6,2023
1007,Art History,Art,9,James Anderson,Available,Artistry Books,Daniel,3,2022
1008,Geography Explained,Geography,8,Rachel Green,Available,Geo Publications,Emily,5,2021
1009,Psychology Primer,Psychology,12,Andrew Clark,Available,Mind Press,Ethan,4,2023
1010,Algebra Advanced,Mathematics,11,Jessica Turner,Available,Math Masters,Grace,3,2024
1011,Physics Essentials,Physics,10,Kevin Wilson,Available,Physique Books,Hannah,6,2022
1012,Shakespeare's Sonnets,Literature,12,Emma Parker,Available,Bard Press,Isaac,2,2023
1013,Computer Networks,Computer Science,11,Brian Harris,Available,Network Books,Isabella,4,2021
1014,Environmental Studies,Science,8,Olivia Johnson,Available,Eco Publishing,Jack,5,2024
1015,French Grammar,Language,9,Ethan Martinez,Available,Lingua Books,Jacob,3,2022
1016,Business Management,Business,11,Sophia Adams,Available,Biz Press,James,4,2023
1017,World History,History,10,Noah Thompson,Available,History Press,Lily,6,2021
1018,Anatomy Essentials,Biology,11,Mia Davis,Available,Bio Books,Mia,5,2024
1019,Digital Marketing,Marketing,12,Jackson Moore,Available,Digital Press,Michael,3,2022
1020,Spanish Basics,Language,9,Aiden Rodriguez,Available,Españo Books,Olivia,4,2023
1021,Political Science,Political Science,10,Chloe Wilson,Available,Poli Press,Ryan,5,2021
1022,Astronomy Guide,Astronomy,11,Benjamin Clark,Available,Star Books,Sophia,3,2024
1023,Health Sciences,Health,10,Harper Smith,Available,Health Press,William,4,2022
1024,Design Principles,Design,9,Zoey Roberts,Available,Design Books,Ava,2,2023
1025,Ethics & Philosophy,Philosophy,12,Caleb Brown,Available,Philo Press,Noah,5,2021
1026,Linguistics Basics,Linguistics,11,Lily Wilson,Available,Lingua Press,Chloe,4,2024
1027,Music Theory,Music,10,Samuel Johnson,Available,Music Masters,Sophia,3,2022
1028,Civil Engineering,Engineering,12,Charlotte Lee,Available,Engi Books,Liam,6,2023
1029,Sociology Essentials,Sociology,11,Mason Taylor,Available,Socio Press,Abigail,4,2021
1030,Earth Science,Science,9,Hannah Green,Available,Earth Press,Samuel,5,2024
1031,Algebra Basics,Mathematics,8,Isaac Parker,Available,Math Press,Elizabeth,3,2022
1032,Literature Anthology,Literature,11,Evelyn Adams,Available,Lit Press,Matthew,4,2023
1033,Web Development Basics,Computer Science,10,Tyler Hernandez,Available,Web Books,Emma,5,2021
1034,Environmental Science,Science,12,Anna Martinez,Available,Enviro Books,Christopher,6,2024
1035,German Grammar,Language,10,Christopher Davis,Available,Germano Books,Madison,3,2022
1036,Marketing Strategy,Marketing,11,Grace Thompson,Available,Market Press,Elijah,4,2023
1037,American History,History,9,William Brown,Available,Ameri Press,Sophia,5,2021
1038,Botany Essentials,Biology,10,Victoria Moore,Available,Bio Books,Andrew,4,2024
1039,Italian Basics,Language,12,Oliver Clark,Available,Italia Books,Evelyn,3,2022
1040,International Relations,Political Science,11,Sophia Lee,Available,Int. Press,Daniel,5,2023
1041,Cosmology Explained,Astronomy,10,Daniel Harris,Available,Cosmo Books,Charlotte,4,2021
1042,Nutrition Science,Health,11,Isabella Johnson,Available,Health Press,Mia,6,2024
1043,Fashion Design,Design,12,Jackson Smith,Available,Fashion Books,William,3,2022
1044,Philosophy of Mind,Philosophy,9,Ethan Taylor,Available,Philo Press,Harper,4,2023
1045,Sociolinguistics,Linguistics,10,Mia Hernandez,Available,Lingua Press,Jackson,5,2021
1046,Poetry Anthology,Literature,10,Sophia Martinez,Available,Poetry Press,Olivia,4,2022
1047,Data Analysis Basics,Mathematics,11,Ethan Adams,Available,Data Books,Sophia,3,2023
1048,Political Philosophy,Philosophy,12,Benjamin Taylor,Available,Poli Press,Ethan,5,2021
1049,Digital Art,Art,9,Ava Brown,Available,Artistry Books,Mia,6,2024
1050,Microeconomics,Economics,11,Noah Harris,Available,Econ Publishing,Benjamin,4,2022
